"date","avg_price","city","name","daily_av"
"2021-07-24",163.348354124306,"amsterdam",NA,18.87
"2021-07-25",158.857174259493,"amsterdam",NA,19.46
"2021-07-26",158.799362532286,"amsterdam",NA,19.35
"2021-07-27",158.949991756883,"amsterdam",NA,18.02
"2021-07-28",159.054404572182,"amsterdam",NA,17.62
"2021-07-29",159.349508160686,"amsterdam",NA,16.83
"2021-07-30",163.406660438534,"amsterdam",NA,16.94
"2021-07-31",163.888058471177,"amsterdam",NA,16.81
"2021-08-01",159.325493213167,"amsterdam",NA,15.94
"2021-08-02",159.04077595208,"amsterdam",NA,14.83
"2021-08-03",158.912293235149,"amsterdam",NA,15.13
"2021-08-04",159.094850799582,"amsterdam",NA,16.44
"2021-08-05",159.662746606584,"amsterdam",NA,18.33
"2021-08-06",163.887069297137,"amsterdam",NA,18.71
"2021-08-07",164.106940704512,"amsterdam",NA,17.08
"2021-08-08",159.301093586855,"amsterdam",NA,17.21
"2021-08-09",158.715887234159,"amsterdam",NA,16.79
"2021-08-10",158.737044567786,"amsterdam",NA,17.21
"2021-08-11",158.762488322251,"amsterdam",NA,17.65
"2021-08-12",158.939385613013,"amsterdam",NA,18.33
"2021-08-13",162.890696268616,"amsterdam",NA,17.83
"2021-08-14",163.042974116613,"amsterdam",NA,18.54
"2021-08-15",158.605704236962,"amsterdam",NA,19.48
"2021-08-16",158.615321206792,"amsterdam",NA,16.31
"2021-08-17",158.708578337089,"amsterdam",NA,15.56
"2021-08-18",158.74523273067,"amsterdam",NA,17.13
"2021-08-19",158.978732758147,"amsterdam",NA,16.5
"2021-08-20",162.861021047425,"amsterdam",NA,17.73
"2021-08-21",162.99120734187,"amsterdam",NA,18.56
"2021-08-22",158.63235698192,"amsterdam",NA,18.04
"2021-08-23",158.623949002583,"amsterdam",NA,18.5
"2021-08-24",158.767928779469,"amsterdam",NA,17.58
"2021-08-25",158.85662471836,"amsterdam",NA,16.72
"2021-08-26",159.19360334121,"amsterdam",NA,16.15
"2021-08-27",163.240424245755,"amsterdam",NA,15.56
"2021-08-28",163.414408968511,"amsterdam",NA,17.15
"2021-08-29",158.867505632797,"amsterdam",NA,16.62
"2021-08-30",158.822992801011,"amsterdam",NA,17.46
"2021-08-31",158.924053415398,"amsterdam",NA,15.92
"2021-09-01",159.314337528164,"amsterdam",NA,16.58
"2021-09-02",160.17288564049,"amsterdam",NA,16.08
"2021-09-03",164.857888662966,"amsterdam",NA,16.55
"2021-09-04",165.076606033962,"amsterdam",NA,16.06
"2021-09-05",160.668736604935,"amsterdam",NA,16.48
"2021-09-06",159.381711271089,"amsterdam",NA,18.1
"2021-09-07",159.327966148266,"amsterdam",NA,19.43
"2021-09-08",159.328460735286,"amsterdam",NA,20.4
"2021-09-09",160.652854866187,"amsterdam",NA,20
"2021-09-10",165.071550255537,"amsterdam",NA,19.63
"2021-09-11",165.118920701214,"amsterdam",NA,18.54
"2021-09-12",160.802659779084,"amsterdam",NA,16.65
"2021-09-13",160.282574050668,"amsterdam",NA,15.52
"2021-09-14",159.97928229928,"amsterdam",NA,18.06
"2021-09-15",159.137550145628,"amsterdam",NA,16.67
"2021-09-16",159.332399164743,"amsterdam",NA,16.75
"2021-09-17",163.399274645565,"amsterdam",NA,16.57
"2021-09-18",163.569293328937,"amsterdam",NA,16.42
"2021-09-19",158.949719749423,"amsterdam",NA,16.02
"2021-09-20",158.662600285746,"amsterdam",NA,13.23
"2021-09-21",158.716837015057,"amsterdam",NA,13.23
"2021-09-22",158.817562369491,"amsterdam","September Equinox",15.02
"2021-09-23",158.950708869107,"amsterdam",NA,16.21
"2021-09-24",163.021046268821,"amsterdam",NA,17.73
"2021-09-25",163.169139465875,"amsterdam",NA,17.83
"2021-09-26",158.80195625893,"amsterdam",NA,17.65
"2021-09-27",158.693153093747,"amsterdam",NA,15.65
"2021-09-28",158.738322892626,"amsterdam",NA,14.46
"2021-09-29",158.750961644137,"amsterdam",NA,12.52
"2021-09-30",158.886690845148,"amsterdam",NA,13.12
"2021-10-01",162.718925156611,"amsterdam",NA,13.54
"2021-10-02",162.78964721398,"amsterdam",NA,13.33
"2021-10-03",158.492416749093,"amsterdam",NA,13.38
"2021-10-04",158.382294757666,"amsterdam",NA,13.36
"2021-10-05",158.390592372788,"amsterdam",NA,12.67
"2021-10-06",158.666886471041,"amsterdam",NA,12.69
"2021-10-07",158.754368611935,"amsterdam",NA,12.83
"2021-10-08",162.793933399275,"amsterdam",NA,11.17
"2021-10-09",162.913891636444,"amsterdam",NA,10.79
"2021-10-10",158.613254203759,"amsterdam",NA,11.17
"2021-10-11",158.310143971865,"amsterdam",NA,12.15
"2021-10-12",158.477470051654,"amsterdam",NA,11.35
"2021-10-13",159.142598087702,"amsterdam",NA,11.48
"2021-10-14",159.459061435323,"amsterdam",NA,14.63
"2021-10-15",163.746785361029,"amsterdam",NA,12.25
"2021-10-16",163.89575777558,"amsterdam",NA,11.21
"2021-10-17",159.381305637982,"amsterdam",NA,11.81
"2021-10-18",158.357511814485,"amsterdam",NA,11.69
"2021-10-19",158.364270798989,"amsterdam",NA,16.46
"2021-10-20",158.368556984284,"amsterdam",NA,15.65
"2021-10-21",158.472744257611,"amsterdam",NA,10.25
"2021-10-22",162.551324321354,"amsterdam",NA,9.69
"2021-10-23",162.702439828553,"amsterdam",NA,8.46
"2021-10-24",158.342675019233,"amsterdam",NA,7.96
"2021-10-25",158.258325090669,"amsterdam",NA,10.65
"2021-10-26",158.28964721398,"amsterdam",NA,12.44
"2021-10-27",158.299813166282,"amsterdam",NA,13.27
"2021-10-28",158.4168040444,"amsterdam",NA,11.69
"2021-10-29",162.46213869656,"amsterdam",NA,12.58
"2021-10-30",162.538410814375,"amsterdam",NA,11.96
